date,APR El Melón - RP3 Cementos Melón >> Cementos Melón >> Estado Bomba(13118),APR El Melón - RP3 Cementos Melón >> Cementos Melón >> Estado Bomba Elevadora(25567)
2020-12-17 11:07:35-03:00,1.0,
2020-12-17 11:12:33-03:00,1.0,
2020-12-17 11:12:35-03:00,1.0,
2020-12-17 11:17:33-03:00,1.0,
2020-12-17 11:17:36-03:00,1.0,
2020-12-17 11:22:33-03:00,1.0,
2020-12-17 11:22:36-03:00,1.0,
2020-12-17 11:27:34-03:00,1.0,
2020-12-17 11:27:36-03:00,1.0,
2020-12-17 11:32:34-03:00,1.0,
2020-12-17 11:32:37-03:00,1.0,
2020-12-17 11:37:34-03:00,1.0,
2020-12-17 11:37:37-03:00,1.0,
2020-12-17 11:42:34-03:00,1.0,
2020-12-17 11:42:37-03:00,1.0,
2020-12-17 11:47:35-03:00,1.0,
2020-12-17 11:47:38-03:00,1.0,
2020-12-17 11:52:35-03:00,1.0,
2020-12-17 11:52:38-03:00,1.0,
2020-12-17 11:57:35-03:00,1.0,
2020-12-17 11:57:38-03:00,1.0,
2020-12-17 12:02:36-03:00,1.0,
2020-12-17 12:02:38-03:00,1.0,
2020-12-17 12:07:36-03:00,1.0,
2020-12-17 12:07:39-03:00,1.0,
2020-12-17 12:12:36-03:00,1.0,
2020-12-17 12:12:39-03:00,1.0,
2020-12-17 12:17:37-03:00,1.0,
2020-12-17 12:17:39-03:00,1.0,
2020-12-17 12:22:37-03:00,1.0,
2020-12-17 12:22:40-03:00,1.0,
2020-12-17 12:27:37-03:00,1.0,
2020-12-17 12:27:40-03:00,1.0,
2020-12-17 12:32:38-03:00,1.0,
2020-12-17 12:32:40-03:00,1.0,
2020-12-17 12:37:38-03:00,1.0,
2020-12-17 12:37:41-03:00,1.0,
2020-12-17 12:42:38-03:00,1.0,
2020-12-17 12:42:41-03:00,1.0,
2020-12-17 12:47:38-03:00,1.0,
2020-12-17 12:47:41-03:00,1.0,
2020-12-17 12:52:39-03:00,1.0,
2020-12-17 12:52:42-03:00,1.0,
2020-12-17 12:57:39-03:00,1.0,
2020-12-17 12:57:42-03:00,1.0,
2020-12-17 13:02:39-03:00,1.0,
2020-12-17 13:02:42-03:00,1.0,
2020-12-17 13:07:40-03:00,1.0,
2020-12-17 13:07:42-03:00,1.0,
