date,APR Las Canteras >> Caseta 7 >> Estado Bomba Elevadora 2(22804),APR Las Canteras >> Caseta 7 >> Estado Bomba Elevadora 1(22793),APR Las Canteras >> Caseta 1 >> Estado Bomba Elevadora 2(22739),APR Las Canteras >> Caseta 1 >> Estado Bomba Elevadora 1(22728)
2020-12-01 03:02:32-03:00,0.0,0.0,,
2020-12-01 03:07:23-03:00,,,0.0,0.0
2020-12-01 03:07:31-03:00,0.0,0.0,,
2020-12-01 03:12:24-03:00,,,0.0,0.0
2020-12-01 03:12:32-03:00,0.0,0.0,,
2020-12-01 03:17:24-03:00,,,0.0,0.0
2020-12-01 03:17:32-03:00,0.0,0.0,,
2020-12-01 03:22:24-03:00,,,0.0,0.0
2020-12-01 03:22:32-03:00,0.0,0.0,,
2020-12-01 03:27:25-03:00,,,0.0,0.0
2020-12-01 03:27:33-03:00,0.0,0.0,,
2020-12-01 03:32:25-03:00,,,0.0,0.0
2020-12-01 03:32:33-03:00,0.0,0.0,,
2020-12-01 03:37:25-03:00,,,0.0,0.0
2020-12-01 03:37:33-03:00,0.0,0.0,,
2020-12-01 03:42:26-03:00,,,0.0,0.0
2020-12-01 03:42:34-03:00,0.0,0.0,,
2020-12-01 03:47:26-03:00,,,0.0,0.0
2020-12-01 03:47:34-03:00,0.0,0.0,,
2020-12-01 03:52:26-03:00,,,0.0,0.0
2020-12-01 03:52:35-03:00,0.0,0.0,,
2020-12-01 03:57:26-03:00,,,0.0,0.0
2020-12-01 03:57:35-03:00,0.0,0.0,,
2020-12-01 04:02:27-03:00,,,0.0,0.0
2020-12-01 04:02:35-03:00,0.0,0.0,,
2020-12-01 04:07:27-03:00,,,0.0,0.0
2020-12-01 04:07:35-03:00,0.0,0.0,,
2020-12-01 04:12:27-03:00,,,0.0,0.0
2020-12-01 04:12:35-03:00,0.0,0.0,,
2020-12-01 04:17:28-03:00,,,0.0,0.0
2020-12-01 04:17:36-03:00,0.0,0.0,,
2020-12-01 04:22:28-03:00,,,0.0,0.0
2020-12-01 04:22:36-03:00,0.0,0.0,,
2020-12-01 04:27:28-03:00,,,0.0,0.0
2020-12-01 04:27:36-03:00,0.0,0.0,,
2020-12-01 04:32:29-03:00,,,0.0,0.0
2020-12-01 04:32:37-03:00,0.0,0.0,,
2020-12-01 04:37:29-03:00,,,0.0,0.0
2020-12-01 04:37:37-03:00,0.0,0.0,,
2020-12-01 04:42:29-03:00,,,0.0,0.0
2020-12-01 04:42:37-03:00,0.0,0.0,,
2020-12-01 04:47:30-03:00,,,0.0,0.0
2020-12-01 04:47:38-03:00,0.0,0.0,,
2020-12-01 04:52:30-03:00,,,0.0,0.0
2020-12-01 04:52:38-03:00,0.0,0.0,,
2020-12-01 04:57:30-03:00,,,0.0,0.0
2020-12-01 04:57:38-03:00,0.0,0.0,,
2020-12-01 05:02:31-03:00,,,0.0,0.0
2020-12-01 05:02:39-03:00,0.0,0.0,,
2020-12-01 05:07:31-03:00,,,0.0,0.0
2020-12-01 05:07:39-03:00,0.0,0.0,,
2020-12-01 05:12:31-03:00,,,0.0,0.0
2020-12-01 05:12:39-03:00,0.0,0.0,,
2020-12-01 05:17:32-03:00,,,0.0,0.0
2020-12-01 05:17:39-03:00,0.0,0.0,,
2020-12-01 05:22:32-03:00,,,0.0,0.0
2020-12-01 05:22:40-03:00,0.0,0.0,,
2020-12-01 05:27:32-03:00,,,0.0,0.0
2020-12-01 05:27:40-03:00,0.0,0.0,,
2020-12-01 05:32:32-03:00,,,0.0,0.0
2020-12-01 05:32:40-03:00,0.0,0.0,,
2020-12-01 05:37:33-03:00,,,0.0,0.0
2020-12-01 05:37:41-03:00,0.0,0.0,,
2020-12-01 05:42:33-03:00,,,0.0,0.0
2020-12-01 05:42:41-03:00,0.0,0.0,,
2020-12-01 05:47:33-03:00,,,0.0,0.0
2020-12-01 05:47:41-03:00,0.0,0.0,,
2020-12-01 05:52:34-03:00,,,0.0,0.0
2020-12-01 05:52:42-03:00,0.0,0.0,,
2020-12-01 05:57:34-03:00,,,0.0,0.0
2020-12-01 05:57:42-03:00,0.0,0.0,,
2020-12-01 06:02:34-03:00,,,0.0,0.0
2020-12-01 06:02:42-03:00,0.0,0.0,,
2020-12-01 06:07:35-03:00,,,0.0,0.0
2020-12-01 06:07:42-03:00,0.0,0.0,,
2020-12-01 06:12:35-03:00,,,0.0,0.0
2020-12-01 06:12:43-03:00,0.0,0.0,,
2020-12-01 06:17:35-03:00,,,0.0,0.0
2020-12-01 06:17:44-03:00,0.0,0.0,,
2020-12-01 06:22:36-03:00,,,0.0,0.0
2020-12-01 06:22:44-03:00,0.0,0.0,,
