date,APR El Sauce >> Pozo 1 >> Caudal Pozo 1(10938),APR El Sauce >> Pozo 2 >> Caudal Pozo 2(10992)
2020-12-01 04:49:00-03:00,0.0,
2020-12-01 04:51:42-03:00,,9.09
2020-12-01 04:54:00-03:00,0.0,
2020-12-01 04:56:42-03:00,,9.09
2020-12-01 04:59:01-03:00,0.0,
2020-12-01 05:01:42-03:00,,9.09
2020-12-01 05:04:01-03:00,0.0,
2020-12-01 05:06:43-03:00,,9.09
2020-12-01 05:09:01-03:00,0.0,
2020-12-01 05:11:43-03:00,,9.09
2020-12-01 05:14:02-03:00,0.0,
2020-12-01 05:16:43-03:00,,9.09
2020-12-01 05:19:02-03:00,0.0,
2020-12-01 05:21:43-03:00,,9.09
2020-12-01 05:24:02-03:00,0.0,
2020-12-01 05:26:44-03:00,,9.09
2020-12-01 05:29:03-03:00,0.0,
2020-12-01 05:31:44-03:00,,9.09
2020-12-01 05:34:03-03:00,0.0,
2020-12-01 05:36:44-03:00,,9.09
2020-12-01 05:39:03-03:00,0.0,
2020-12-01 05:41:45-03:00,,9.09
2020-12-01 05:44:04-03:00,0.0,
2020-12-01 05:46:45-03:00,,9.09
2020-12-01 05:49:04-03:00,0.0,
2020-12-01 05:51:45-03:00,,9.09
2020-12-01 05:54:04-03:00,0.0,
2020-12-01 05:56:46-03:00,,9.09
2020-12-01 05:59:05-03:00,0.0,
2020-12-01 06:01:46-03:00,,9.09
2020-12-01 06:04:05-03:00,0.0,
2020-12-01 06:06:46-03:00,,9.09
2020-12-01 06:09:05-03:00,0.0,
2020-12-01 06:11:47-03:00,,9.09
2020-12-01 06:14:06-03:00,0.0,
2020-12-01 06:16:47-03:00,,9.09
2020-12-01 06:19:06-03:00,0.0,
2020-12-01 06:21:47-03:00,,9.09
2020-12-01 06:24:06-03:00,0.0,
2020-12-01 06:26:48-03:00,,9.09
2020-12-01 06:29:07-03:00,0.0,
2020-12-01 06:31:48-03:00,,9.09
2020-12-01 06:34:07-03:00,0.0,
2020-12-01 06:36:48-03:00,,9.09
2020-12-01 06:39:07-03:00,0.0,
2020-12-01 06:41:49-03:00,,9.09
2020-12-01 06:44:08-03:00,0.0,
2020-12-01 06:46:49-03:00,,9.09
2020-12-01 06:49:08-03:00,0.0,
2020-12-01 06:51:49-03:00,,9.09
2020-12-01 06:54:08-03:00,0.0,
2020-12-01 06:56:50-03:00,,9.09
2020-12-01 06:59:08-03:00,0.0,
2020-12-01 07:01:50-03:00,,9.09
2020-12-01 07:04:09-03:00,0.0,
2020-12-01 07:06:50-03:00,,9.09
2020-12-01 07:09:09-03:00,0.0,
2020-12-01 07:11:51-03:00,,9.09
2020-12-01 07:14:09-03:00,0.0,
2020-12-01 07:16:51-03:00,,9.09
2020-12-01 07:19:10-03:00,0.0,
2020-12-01 07:21:51-03:00,,9.09
2020-12-01 07:24:10-03:00,0.0,
2020-12-01 07:26:51-03:00,,9.09
2020-12-01 07:29:10-03:00,0.0,
2020-12-01 07:31:52-03:00,,9.09
2020-12-01 07:34:11-03:00,0.0,
2020-12-01 07:36:52-03:00,,9.09
2020-12-01 07:39:11-03:00,0.0,
2020-12-01 07:41:52-03:00,,9.09
2020-12-01 07:44:11-03:00,0.0,
2020-12-01 07:46:53-03:00,,9.09
2020-12-01 07:49:12-03:00,0.0,
2020-12-01 07:51:53-03:00,,9.09
2020-12-01 07:54:12-03:00,0.0,
2020-12-01 07:56:53-03:00,,9.09
2020-12-01 07:59:12-03:00,0.0,
2020-12-01 08:01:54-03:00,,9.09
2020-12-01 08:04:13-03:00,0.0,
2020-12-01 08:06:54-03:00,,9.09
2020-12-01 08:09:13-03:00,0.0,
2020-12-01 08:11:54-03:00,,9.09
2020-12-01 08:14:14-03:00,0.0,
2020-12-01 08:16:55-03:00,,9.09
2020-12-01 08:19:14-03:00,0.0,
2020-12-01 08:21:55-03:00,,9.09
2020-12-01 08:24:14-03:00,0.0,
2020-12-01 08:26:55-03:00,,9.09
2020-12-01 08:29:15-03:00,0.0,
2020-12-01 08:31:56-03:00,,9.09
2020-12-01 08:34:15-03:00,0.0,
2020-12-01 08:36:56-03:00,,9.09
2020-12-01 08:39:15-03:00,0.0,
2020-12-01 08:41:56-03:00,,9.09
2020-12-01 08:44:16-03:00,0.0,
2020-12-01 08:46:57-03:00,,9.09
2020-12-01 08:49:16-03:00,0.0,
2020-12-01 08:51:57-03:00,,9.09
2020-12-01 08:54:16-03:00,0.0,
2020-12-01 08:56:57-03:00,,9.09
2020-12-01 08:59:17-03:00,0.0,
2020-12-01 09:01:57-03:00,,9.09
2020-12-01 09:04:17-03:00,0.0,
2020-12-01 09:06:58-03:00,,9.09
2020-12-01 09:09:17-03:00,0.0,
2020-12-01 09:11:58-03:00,,9.09
2020-12-01 09:14:17-03:00,0.0,
2020-12-01 09:16:58-03:00,,9.09
2020-12-01 09:19:18-03:00,0.0,
2020-12-01 09:21:59-03:00,,9.09
2020-12-01 09:24:18-03:00,0.0,
2020-12-01 09:26:59-03:00,,9.09
2020-12-01 09:29:18-03:00,0.0,
2020-12-01 09:31:59-03:00,,9.09
2020-12-01 09:34:19-03:00,0.0,
2020-12-01 09:37:00-03:00,,9.09
2020-12-01 09:39:19-03:00,0.0,
2020-12-01 09:42:00-03:00,,9.09
2020-12-01 09:44:19-03:00,0.0,
2020-12-01 09:47:00-03:00,,9.09
2020-12-01 09:49:20-03:00,0.0,
2020-12-01 09:52:01-03:00,,9.09
2020-12-01 09:54:20-03:00,0.0,
2020-12-01 09:57:01-03:00,,9.09
2020-12-01 09:59:20-03:00,0.0,
2020-12-01 10:02:01-03:00,,9.09
2020-12-01 10:04:21-03:00,0.0,
2020-12-01 10:07:02-03:00,,9.09
2020-12-01 10:09:21-03:00,0.0,
2020-12-01 10:12:02-03:00,,9.09
2020-12-01 10:14:21-03:00,0.0,
2020-12-01 10:17:02-03:00,,9.09
2020-12-01 10:19:22-03:00,0.0,
2020-12-01 10:22:03-03:00,,9.09
2020-12-01 10:24:22-03:00,0.0,
2020-12-01 10:27:03-03:00,,9.09
2020-12-01 10:29:22-03:00,0.0,
2020-12-01 10:32:03-03:00,,9.09
2020-12-01 10:34:23-03:00,0.0,
2020-12-01 10:37:03-03:00,,9.09
2020-12-01 10:39:23-03:00,0.0,
2020-12-01 10:42:04-03:00,,9.09
2020-12-01 10:44:23-03:00,0.0,
2020-12-01 10:47:04-03:00,,9.09
2020-12-01 10:49:24-03:00,0.0,
2020-12-01 10:52:04-03:00,,9.09
2020-12-01 10:54:24-03:00,0.0,
2020-12-01 10:57:05-03:00,,9.09
2020-12-01 10:59:24-03:00,0.0,
2020-12-01 11:02:05-03:00,,9.09
2020-12-01 11:04:25-03:00,0.0,
2020-12-01 11:07:05-03:00,,9.09
2020-12-01 11:09:25-03:00,0.0,
2020-12-01 11:12:06-03:00,,9.09
2020-12-01 11:14:25-03:00,0.0,
2020-12-01 11:17:06-03:00,,9.09
2020-12-01 11:19:26-03:00,0.0,
2020-12-01 11:22:06-03:00,,9.09
2020-12-01 11:24:26-03:00,0.0,
2020-12-01 11:27:07-03:00,,9.09
2020-12-01 11:29:26-03:00,0.0,
2020-12-01 11:32:07-03:00,,8.33
2020-12-01 11:34:27-03:00,0.0,
2020-12-01 11:37:07-03:00,,9.09
2020-12-01 11:39:27-03:00,0.0,
2020-12-01 11:42:08-03:00,,9.09
2020-12-01 11:44:27-03:00,0.0,
2020-12-01 11:47:08-03:00,,9.09
2020-12-01 11:49:27-03:00,0.0,
2020-12-01 11:52:08-03:00,,9.09
2020-12-01 11:54:28-03:00,0.0,
2020-12-01 11:57:09-03:00,,9.09
2020-12-01 11:59:28-03:00,0.0,
2020-12-01 12:02:09-03:00,,9.09
2020-12-01 12:04:29-03:00,0.0,
2020-12-01 12:07:09-03:00,,9.09
2020-12-01 12:09:29-03:00,0.0,
2020-12-01 12:12:10-03:00,,9.09
2020-12-01 12:14:30-03:00,0.0,
2020-12-01 12:17:10-03:00,,9.09
2020-12-01 12:19:30-03:00,0.0,
2020-12-01 12:22:10-03:00,,9.09
2020-12-01 12:24:30-03:00,0.0,
2020-12-01 12:27:11-03:00,,9.09
2020-12-01 12:29:31-03:00,0.0,
2020-12-01 12:32:11-03:00,,9.09
2020-12-01 12:34:31-03:00,0.0,
2020-12-01 12:37:11-03:00,,9.09
2020-12-01 12:39:31-03:00,0.0,
2020-12-01 12:42:12-03:00,,9.09
2020-12-01 12:44:31-03:00,0.0,
2020-12-01 12:47:12-03:00,,9.09
2020-12-01 12:49:32-03:00,0.0,
2020-12-01 12:52:12-03:00,,9.09
2020-12-01 12:54:32-03:00,0.0,
2020-12-01 12:57:12-03:00,,9.09
2020-12-01 12:59:32-03:00,0.0,
2020-12-01 13:02:13-03:00,,9.09
2020-12-01 13:04:33-03:00,0.0,
2020-12-01 13:07:13-03:00,,9.09
2020-12-01 13:09:33-03:00,0.0,
2020-12-01 13:12:13-03:00,,9.09
2020-12-01 13:14:33-03:00,0.0,
2020-12-01 13:17:14-03:00,,9.09
2020-12-01 13:19:34-03:00,0.0,
2020-12-01 13:22:14-03:00,,9.09
2020-12-01 13:24:34-03:00,0.0,
2020-12-01 13:27:14-03:00,,9.09
2020-12-01 13:29:34-03:00,0.0,
2020-12-01 13:32:15-03:00,,9.09
2020-12-01 13:34:35-03:00,0.0,
2020-12-01 13:37:15-03:00,,9.09
2020-12-01 13:39:35-03:00,0.0,
2020-12-01 13:42:15-03:00,,9.09
2020-12-01 13:44:35-03:00,0.0,
2020-12-01 13:47:16-03:00,,9.09
2020-12-01 13:49:36-03:00,0.0,
2020-12-01 13:52:16-03:00,,9.09
2020-12-01 13:54:36-03:00,0.0,
2020-12-01 13:57:16-03:00,,9.09
2020-12-01 13:59:36-03:00,0.0,
2020-12-01 14:02:17-03:00,,9.09
2020-12-01 14:04:37-03:00,0.0,
2020-12-01 14:07:17-03:00,,9.09
2020-12-01 14:09:37-03:00,0.0,
2020-12-01 14:12:17-03:00,,9.09
2020-12-01 14:14:37-03:00,0.0,
2020-12-01 14:17:18-03:00,,9.09
2020-12-01 14:19:38-03:00,0.0,
2020-12-01 14:22:18-03:00,,9.09
2020-12-01 14:24:38-03:00,0.0,
2020-12-01 14:27:18-03:00,,9.09
2020-12-01 14:29:38-03:00,0.0,
2020-12-01 14:32:18-03:00,,9.09
2020-12-01 14:34:39-03:00,0.0,
2020-12-01 14:37:19-03:00,,9.09
2020-12-01 14:39:39-03:00,0.0,
2020-12-01 14:42:19-03:00,,9.09
2020-12-01 14:44:39-03:00,0.0,
2020-12-01 14:47:19-03:00,,9.09
2020-12-01 14:49:40-03:00,0.0,
2020-12-01 14:52:20-03:00,,9.09
2020-12-01 14:54:40-03:00,0.0,
2020-12-01 14:57:20-03:00,,9.09
2020-12-01 14:59:40-03:00,0.0,
2020-12-01 15:02:20-03:00,,9.09
2020-12-01 15:04:41-03:00,0.0,
2020-12-01 15:07:21-03:00,,9.09
2020-12-01 15:09:41-03:00,0.0,
2020-12-01 15:12:21-03:00,,9.09
2020-12-01 15:14:41-03:00,0.0,
2020-12-01 15:17:21-03:00,,9.09
2020-12-01 15:19:41-03:00,0.0,
2020-12-01 15:22:22-03:00,,9.09
2020-12-01 15:24:42-03:00,0.0,
2020-12-01 15:27:22-03:00,,9.09
2020-12-01 15:29:42-03:00,0.0,
2020-12-01 15:32:22-03:00,,9.09
2020-12-01 15:34:42-03:00,0.0,
2020-12-01 15:37:23-03:00,,9.09
2020-12-01 15:39:43-03:00,0.0,
2020-12-01 15:42:23-03:00,,9.09
2020-12-01 15:44:43-03:00,0.0,
2020-12-01 15:47:23-03:00,,9.09
2020-12-01 15:49:43-03:00,0.0,
2020-12-01 15:52:23-03:00,,9.09
2020-12-01 15:54:44-03:00,0.0,
2020-12-01 15:57:24-03:00,,9.09
2020-12-01 15:59:44-03:00,0.0,
2020-12-01 16:02:24-03:00,,9.09
2020-12-01 16:04:45-03:00,0.0,
2020-12-01 16:07:25-03:00,,9.09
2020-12-01 16:09:45-03:00,0.0,
2020-12-01 16:12:25-03:00,,9.09
2020-12-01 16:14:45-03:00,0.0,
2020-12-01 16:17:25-03:00,,9.09
2020-12-01 16:19:46-03:00,0.0,
2020-12-01 16:22:26-03:00,,9.09
2020-12-01 16:24:46-03:00,0.0,
2020-12-01 16:27:26-03:00,,9.09
2020-12-01 16:29:46-03:00,0.0,
2020-12-01 16:32:26-03:00,,9.09
2020-12-01 16:34:47-03:00,0.0,
2020-12-01 16:37:26-03:00,,9.09
2020-12-01 16:39:47-03:00,0.0,
2020-12-01 16:42:27-03:00,,9.09
2020-12-01 16:44:47-03:00,0.0,
2020-12-01 16:47:27-03:00,,9.09
2020-12-01 16:49:48-03:00,0.0,
2020-12-01 16:52:27-03:00,,9.09
2020-12-01 16:54:48-03:00,0.0,
2020-12-01 16:57:28-03:00,,9.09
2020-12-01 16:59:48-03:00,0.0,
2020-12-01 17:02:28-03:00,,9.09
2020-12-01 17:04:49-03:00,0.0,
2020-12-01 17:07:28-03:00,,9.09
2020-12-01 17:09:49-03:00,0.0,
2020-12-01 17:12:29-03:00,,9.09
2020-12-01 17:14:49-03:00,0.0,
2020-12-01 17:17:29-03:00,,9.09
2020-12-01 17:19:50-03:00,0.0,
2020-12-01 17:22:29-03:00,,9.09
2020-12-01 17:24:50-03:00,0.0,
2020-12-01 17:27:30-03:00,,8.33
2020-12-01 17:29:50-03:00,0.0,
2020-12-01 17:32:30-03:00,,9.09
2020-12-01 17:34:51-03:00,0.0,
2020-12-01 17:37:30-03:00,,9.09
2020-12-01 17:39:51-03:00,0.0,
2020-12-01 17:42:31-03:00,,9.09
2020-12-01 17:44:51-03:00,0.0,
2020-12-01 17:47:31-03:00,,9.09
2020-12-01 17:49:51-03:00,0.0,
2020-12-01 17:52:31-03:00,,9.09
2020-12-01 17:54:52-03:00,0.0,
2020-12-01 17:57:32-03:00,,9.09
2020-12-01 17:59:52-03:00,0.0,
2020-12-01 18:02:32-03:00,,9.09
2020-12-01 18:04:52-03:00,0.0,
2020-12-01 18:07:32-03:00,,9.09
2020-12-01 18:09:53-03:00,0.0,
2020-12-01 18:12:33-03:00,,9.09
2020-12-01 18:14:53-03:00,0.0,
2020-12-01 18:17:33-03:00,,9.09
2020-12-01 18:19:53-03:00,0.0,
2020-12-01 18:22:33-03:00,,9.09
2020-12-01 18:24:54-03:00,0.0,
2020-12-01 18:27:33-03:00,,9.09
2020-12-01 18:29:54-03:00,0.0,
2020-12-01 18:32:34-03:00,,9.09
2020-12-01 18:34:54-03:00,0.0,
2020-12-01 18:37:34-03:00,,9.09
2020-12-01 18:39:55-03:00,0.0,
2020-12-01 18:42:34-03:00,,9.09
2020-12-01 18:44:55-03:00,0.0,
2020-12-01 18:47:35-03:00,,9.09
2020-12-01 18:49:55-03:00,0.0,
2020-12-01 18:52:35-03:00,,9.09
2020-12-01 18:54:56-03:00,0.0,
2020-12-01 18:57:35-03:00,,9.09
2020-12-01 18:59:56-03:00,0.0,
2020-12-01 19:02:36-03:00,,9.09
2020-12-01 19:04:56-03:00,0.0,
2020-12-01 19:07:36-03:00,,9.09
2020-12-01 19:09:57-03:00,0.0,
2020-12-01 19:12:36-03:00,,9.09
2020-12-01 19:14:57-03:00,0.0,
2020-12-01 19:17:37-03:00,,9.09
2020-12-01 19:19:57-03:00,0.0,
2020-12-01 19:22:37-03:00,,9.09
2020-12-01 19:24:58-03:00,0.0,
2020-12-01 19:27:37-03:00,,9.09
2020-12-01 19:29:58-03:00,0.0,
2020-12-01 19:32:38-03:00,,9.09
2020-12-01 19:34:58-03:00,0.0,
2020-12-01 19:37:38-03:00,,9.09
2020-12-01 19:39:58-03:00,0.0,
2020-12-01 19:42:38-03:00,,9.09
2020-12-01 19:44:59-03:00,0.0,
2020-12-01 19:47:38-03:00,,9.09
2020-12-01 19:49:59-03:00,0.0,
2020-12-01 19:52:39-03:00,,9.09
2020-12-01 19:54:59-03:00,0.0,
2020-12-01 19:57:39-03:00,,9.09
2020-12-01 20:00:00-03:00,0.0,
2020-12-01 20:02:39-03:00,,9.09
2020-12-01 20:05:00-03:00,0.0,
2020-12-01 20:07:40-03:00,,9.09
2020-12-01 20:10:00-03:00,0.0,
2020-12-01 20:12:40-03:00,,9.09
2020-12-01 20:15:01-03:00,0.0,
2020-12-01 20:17:40-03:00,,9.09
2020-12-01 20:20:01-03:00,0.0,
2020-12-01 20:22:41-03:00,,9.09
2020-12-01 20:25:01-03:00,0.0,
2020-12-01 20:27:41-03:00,,9.09
2020-12-01 20:30:02-03:00,0.0,
2020-12-01 20:32:41-03:00,,9.09
2020-12-01 20:35:02-03:00,0.0,
2020-12-01 20:37:42-03:00,,9.09
2020-12-01 20:40:02-03:00,0.0,
2020-12-01 20:42:42-03:00,,9.09
2020-12-01 20:45:03-03:00,0.0,
2020-12-01 20:47:42-03:00,,9.09
2020-12-01 20:50:03-03:00,0.0,
2020-12-01 20:52:43-03:00,,9.09
2020-12-01 20:55:03-03:00,0.0,
2020-12-01 20:57:43-03:00,,9.09
2020-12-01 21:00:04-03:00,0.0,
2020-12-01 21:02:43-03:00,,9.09
2020-12-01 21:05:04-03:00,0.0,
2020-12-01 21:07:44-03:00,,9.09
2020-12-01 21:10:04-03:00,0.0,
2020-12-01 21:12:44-03:00,,9.09
2020-12-01 21:15:05-03:00,0.0,
2020-12-01 21:17:44-03:00,,9.09
2020-12-01 21:20:05-03:00,0.0,
2020-12-01 21:22:45-03:00,,9.09
2020-12-01 21:25:05-03:00,0.0,
2020-12-01 21:27:45-03:00,,9.09
2020-12-01 21:30:06-03:00,0.0,
2020-12-01 21:32:45-03:00,,9.09
2020-12-01 21:35:06-03:00,0.0,
2020-12-01 21:37:46-03:00,,9.09
2020-12-01 21:40:06-03:00,0.0,
2020-12-01 21:42:46-03:00,,9.09
2020-12-01 21:45:07-03:00,0.0,
2020-12-01 21:47:46-03:00,,9.09
2020-12-01 21:50:07-03:00,0.0,
