date,APR Las Calderas RP1 >> Estanque Elevado 1 >> Volumen Salida Estanque Base(14135),APR Las Calderas RP1 >> Pozo Pedrero >> Volumen Pozo Pedrero(14069)
2020-12-01 06:34:29-03:00,,8964.0
2020-12-01 06:37:47-03:00,94653.0,
2020-12-01 06:39:29-03:00,,8964.0
2020-12-01 06:42:47-03:00,94655.0,
2020-12-01 06:44:30-03:00,,8964.0
2020-12-01 06:47:48-03:00,94656.0,
2020-12-01 06:49:30-03:00,,8964.0
2020-12-01 06:52:48-03:00,94657.0,
2020-12-01 06:54:30-03:00,,8964.0
2020-12-01 06:57:48-03:00,94659.0,
2020-12-01 06:59:31-03:00,,8964.0
2020-12-01 07:02:49-03:00,94660.0,
2020-12-01 07:04:31-03:00,,8965.0
2020-12-01 07:07:49-03:00,94662.0,
2020-12-01 07:09:31-03:00,,8965.0
2020-12-01 07:12:49-03:00,94663.0,
2020-12-01 07:14:32-03:00,,8966.0
2020-12-01 07:17:50-03:00,94665.0,
2020-12-01 07:19:32-03:00,,8967.0
2020-12-01 07:22:50-03:00,94667.0,
2020-12-01 07:24:32-03:00,,8967.0
2020-12-01 07:27:50-03:00,94668.0,
2020-12-01 07:29:33-03:00,,8968.0
2020-12-01 07:32:51-03:00,94670.0,
2020-12-01 07:34:33-03:00,,8969.0
2020-12-01 07:37:51-03:00,94672.0,
2020-12-01 07:39:33-03:00,,8969.0
2020-12-01 07:42:51-03:00,94674.0,
2020-12-01 07:44:33-03:00,,8970.0
2020-12-01 07:47:51-03:00,94677.0,
2020-12-01 07:49:34-03:00,,8970.0
2020-12-01 07:52:52-03:00,94679.0,
2020-12-01 07:54:34-03:00,,8970.0
2020-12-01 07:57:52-03:00,94681.0,
2020-12-01 07:59:34-03:00,,8970.0
2020-12-01 08:02:52-03:00,94684.0,
2020-12-01 08:04:35-03:00,,8970.0
2020-12-01 08:07:53-03:00,94686.0,
2020-12-01 08:09:35-03:00,,8970.0
2020-12-01 08:12:53-03:00,94688.0,
2020-12-01 08:14:35-03:00,,8970.0
2020-12-01 08:17:53-03:00,94691.0,
2020-12-01 08:19:36-03:00,,8970.0
2020-12-01 08:22:54-03:00,94693.0,
2020-12-01 08:24:36-03:00,,8970.0
2020-12-01 08:27:54-03:00,94695.0,
2020-12-01 08:29:36-03:00,,8970.0
2020-12-01 08:32:54-03:00,94698.0,
2020-12-01 08:34:37-03:00,,8970.0
2020-12-01 08:37:55-03:00,94701.0,
2020-12-01 08:39:37-03:00,,8970.0
2020-12-01 08:42:55-03:00,94703.0,
2020-12-01 08:44:37-03:00,,8970.0
2020-12-01 08:47:55-03:00,94706.0,
2020-12-01 08:49:38-03:00,,8970.0
2020-12-01 08:52:56-03:00,94708.0,
2020-12-01 08:54:38-03:00,,8970.0
2020-12-01 08:57:56-03:00,94711.0,
2020-12-01 08:59:38-03:00,,8970.0
2020-12-01 09:02:56-03:00,94714.0,
2020-12-01 09:04:38-03:00,,8970.0
2020-12-01 09:07:57-03:00,94717.0,
2020-12-01 09:09:39-03:00,,8970.0
2020-12-01 09:12:57-03:00,94719.0,
2020-12-01 09:14:39-03:00,,8970.0
2020-12-01 09:17:57-03:00,94722.0,
2020-12-01 09:19:39-03:00,,8970.0
