date,APR Los Cerrillos >> Pozo >> Caudal Pozo(12775)
2020-12-09 00:45:45-03:00,0.0
2020-12-09 00:45:51-03:00,0.0
2020-12-09 00:50:45-03:00,0.0
2020-12-09 00:50:51-03:00,0.0
2020-12-09 00:55:46-03:00,0.0
2020-12-09 00:55:52-03:00,0.0
2020-12-09 01:00:46-03:00,0.0
2020-12-09 01:00:52-03:00,0.0
2020-12-09 01:05:46-03:00,0.0
2020-12-09 01:05:52-03:00,0.0
2020-12-09 01:10:47-03:00,0.0
2020-12-09 01:10:52-03:00,0.0
2020-12-09 01:15:47-03:00,0.0
2020-12-09 01:15:53-03:00,0.0
2020-12-09 01:20:47-03:00,0.0
2020-12-09 01:20:53-03:00,0.0
2020-12-09 01:25:48-03:00,0.0
2020-12-09 01:25:53-03:00,0.0
2020-12-09 01:30:48-03:00,0.0
2020-12-09 01:30:54-03:00,0.0
2020-12-09 01:35:48-03:00,0.0
2020-12-09 01:35:54-03:00,0.0
2020-12-09 01:40:49-03:00,0.0
2020-12-09 01:40:54-03:00,0.0
2020-12-09 01:45:49-03:00,0.0
2020-12-09 01:45:55-03:00,0.0
2020-12-09 01:50:49-03:00,0.0
2020-12-09 01:50:55-03:00,0.0
2020-12-09 01:55:49-03:00,0.0
2020-12-09 01:55:55-03:00,0.0
2020-12-09 02:00:50-03:00,0.0
2020-12-09 02:00:56-03:00,0.0
2020-12-09 02:05:50-03:00,0.0
2020-12-09 02:05:56-03:00,0.0
2020-12-09 02:10:50-03:00,0.0
2020-12-09 02:10:56-03:00,0.0
2020-12-09 02:15:51-03:00,0.0
2020-12-09 02:15:56-03:00,0.0
2020-12-09 02:20:51-03:00,0.0
2020-12-09 02:20:57-03:00,0.0
2020-12-09 02:25:51-03:00,0.0
2020-12-09 02:25:57-03:00,0.0
2020-12-09 02:30:52-03:00,0.0
2020-12-09 02:30:57-03:00,0.0
2020-12-09 02:35:52-03:00,9.09
2020-12-09 02:35:58-03:00,9.09
2020-12-09 02:40:52-03:00,9.09
2020-12-09 02:40:58-03:00,9.09
2020-12-09 02:45:53-03:00,9.09
2020-12-09 02:45:58-03:00,9.09
2020-12-09 02:50:53-03:00,9.09
2020-12-09 02:50:59-03:00,9.09
2020-12-09 02:55:53-03:00,9.09
2020-12-09 02:55:59-03:00,9.09
2020-12-09 03:00:53-03:00,9.09
2020-12-09 03:00:59-03:00,9.09
2020-12-09 03:05:54-03:00,9.09
2020-12-09 03:06:00-03:00,9.09
2020-12-09 03:10:54-03:00,0.0
2020-12-09 03:11:00-03:00,0.0
2020-12-09 03:15:54-03:00,0.0
2020-12-09 03:16:00-03:00,0.0
2020-12-09 03:20:55-03:00,0.0
2020-12-09 03:21:00-03:00,0.0
2020-12-09 03:25:55-03:00,0.0
2020-12-09 03:26:01-03:00,0.0
2020-12-09 03:30:55-03:00,0.0
2020-12-09 03:31:01-03:00,0.0
2020-12-09 03:35:56-03:00,0.0
2020-12-09 03:36:01-03:00,0.0
2020-12-09 03:40:56-03:00,0.0
2020-12-09 03:41:02-03:00,0.0
2020-12-09 03:45:56-03:00,0.0
2020-12-09 03:46:02-03:00,0.0
2020-12-09 03:50:56-03:00,0.0
2020-12-09 03:51:02-03:00,0.0
2020-12-09 03:55:57-03:00,0.0
2020-12-09 03:56:03-03:00,0.0
2020-12-09 04:00:57-03:00,0.0
2020-12-09 04:01:03-03:00,0.0
2020-12-09 04:05:57-03:00,0.0
2020-12-09 04:06:03-03:00,0.0
2020-12-09 04:10:58-03:00,0.0
2020-12-09 04:11:03-03:00,0.0
2020-12-09 04:15:58-03:00,0.0
2020-12-09 04:16:04-03:00,0.0
2020-12-09 04:20:58-03:00,0.0
2020-12-09 04:21:04-03:00,0.0
2020-12-09 04:25:59-03:00,0.0
2020-12-09 04:26:04-03:00,0.0
2020-12-09 04:30:59-03:00,0.0
2020-12-09 04:31:05-03:00,0.0
2020-12-09 04:35:59-03:00,0.0
2020-12-09 04:36:05-03:00,0.0
2020-12-09 04:40:59-03:00,0.0
2020-12-09 04:41:05-03:00,0.0
2020-12-09 04:46:00-03:00,0.0
2020-12-09 04:46:06-03:00,0.0
2020-12-09 04:51:00-03:00,0.0
2020-12-09 04:51:06-03:00,0.0
2020-12-09 04:56:00-03:00,0.0
2020-12-09 04:56:06-03:00,0.0
2020-12-09 05:01:01-03:00,0.0
2020-12-09 05:01:07-03:00,0.0
2020-12-09 05:06:01-03:00,0.0
2020-12-09 05:06:07-03:00,0.0
2020-12-09 05:11:01-03:00,0.0
2020-12-09 05:11:07-03:00,0.0
2020-12-09 05:16:02-03:00,0.0
2020-12-09 05:16:07-03:00,0.0
2020-12-09 05:21:02-03:00,0.0
2020-12-09 05:21:08-03:00,0.0
2020-12-09 05:26:02-03:00,0.0
2020-12-09 05:26:08-03:00,0.0
2020-12-09 05:31:03-03:00,0.0
2020-12-09 05:31:08-03:00,0.0
2020-12-09 05:36:03-03:00,0.0
2020-12-09 05:36:09-03:00,0.0
2020-12-09 05:41:03-03:00,0.0
2020-12-09 05:41:09-03:00,0.0
2020-12-09 05:46:03-03:00,0.0
2020-12-09 05:46:09-03:00,0.0
2020-12-09 05:51:04-03:00,0.0
2020-12-09 05:51:10-03:00,0.0
2020-12-09 05:56:04-03:00,0.0
2020-12-09 05:56:10-03:00,0.0
2020-12-09 06:01:04-03:00,0.0
2020-12-09 06:01:10-03:00,0.0
2020-12-09 06:06:05-03:00,0.0
2020-12-09 06:06:11-03:00,0.0
2020-12-09 06:11:05-03:00,0.0
2020-12-09 06:11:11-03:00,0.0
2020-12-09 06:16:05-03:00,0.0
2020-12-09 06:16:11-03:00,0.0
2020-12-09 06:21:06-03:00,9.09
2020-12-09 06:21:11-03:00,9.09
2020-12-09 06:26:06-03:00,9.09
2020-12-09 06:26:12-03:00,9.09
2020-12-09 06:31:06-03:00,9.09
2020-12-09 06:31:12-03:00,9.09
2020-12-09 06:36:07-03:00,9.09
2020-12-09 06:36:12-03:00,9.09
2020-12-09 06:41:07-03:00,9.09
2020-12-09 06:41:13-03:00,9.09
2020-12-09 06:46:07-03:00,9.09
2020-12-09 06:46:13-03:00,9.09
2020-12-09 06:51:07-03:00,9.09
2020-12-09 06:51:13-03:00,9.09
2020-12-09 06:56:08-03:00,9.09
2020-12-09 06:56:14-03:00,9.09
2020-12-09 07:01:08-03:00,9.09
2020-12-09 07:01:14-03:00,9.09
2020-12-09 07:06:08-03:00,0.0
2020-12-09 07:06:14-03:00,0.0
2020-12-09 07:11:09-03:00,0.0
2020-12-09 07:11:14-03:00,0.0
2020-12-09 07:16:09-03:00,0.0
2020-12-09 07:16:15-03:00,0.0
2020-12-09 07:21:09-03:00,0.0
2020-12-09 07:21:15-03:00,0.0
2020-12-09 07:26:10-03:00,0.0
2020-12-09 07:26:15-03:00,0.0
2020-12-09 07:31:10-03:00,0.0
2020-12-09 07:31:16-03:00,0.0
2020-12-09 07:36:10-03:00,0.0
2020-12-09 07:36:16-03:00,0.0
2020-12-09 07:41:10-03:00,0.0
2020-12-09 07:41:16-03:00,0.0
2020-12-09 07:46:11-03:00,0.0
2020-12-09 07:46:17-03:00,0.0
2020-12-09 07:51:11-03:00,0.0
2020-12-09 07:51:17-03:00,0.0
2020-12-09 07:56:12-03:00,0.0
2020-12-09 07:56:17-03:00,0.0
2020-12-09 08:01:12-03:00,0.0
2020-12-09 08:01:18-03:00,0.0
2020-12-09 08:06:12-03:00,0.0
2020-12-09 08:06:18-03:00,0.0
2020-12-09 08:11:12-03:00,9.09
2020-12-09 08:11:18-03:00,9.09
2020-12-09 08:16:13-03:00,9.09
2020-12-09 08:16:18-03:00,9.09
2020-12-09 08:21:13-03:00,9.09
2020-12-09 08:21:19-03:00,9.09
2020-12-09 08:26:13-03:00,9.09
2020-12-09 08:26:19-03:00,9.09
2020-12-09 08:31:14-03:00,9.09
2020-12-09 08:31:19-03:00,9.09
2020-12-09 08:36:14-03:00,9.09
2020-12-09 08:36:20-03:00,9.09
2020-12-09 08:41:14-03:00,9.09
2020-12-09 08:41:20-03:00,9.09
2020-12-09 08:46:14-03:00,9.09
2020-12-09 08:46:20-03:00,9.09
2020-12-09 08:51:15-03:00,9.09
2020-12-09 08:51:21-03:00,9.09
2020-12-09 08:56:15-03:00,9.09
2020-12-09 08:56:21-03:00,9.09
2020-12-09 09:01:15-03:00,9.09
2020-12-09 09:01:21-03:00,9.09
2020-12-09 09:06:16-03:00,9.09
2020-12-09 09:06:22-03:00,9.09
2020-12-09 09:11:16-03:00,9.09
2020-12-09 09:11:22-03:00,9.09
2020-12-09 09:16:16-03:00,9.09
2020-12-09 09:16:22-03:00,9.09
2020-12-09 09:21:17-03:00,9.09
2020-12-09 09:21:22-03:00,9.09
2020-12-09 09:26:17-03:00,0.0
2020-12-09 09:26:23-03:00,0.0
2020-12-09 09:31:17-03:00,0.0
2020-12-09 09:31:23-03:00,0.0
2020-12-09 09:36:18-03:00,0.0
2020-12-09 09:36:23-03:00,0.0
2020-12-09 09:41:18-03:00,0.0
2020-12-09 09:41:24-03:00,0.0
2020-12-09 09:46:18-03:00,0.0
2020-12-09 09:46:24-03:00,0.0
2020-12-09 09:51:18-03:00,0.0
2020-12-09 09:51:24-03:00,0.0
2020-12-09 09:56:19-03:00,0.0
2020-12-09 09:56:25-03:00,0.0
2020-12-09 10:01:19-03:00,0.0
2020-12-09 10:01:25-03:00,0.0
2020-12-09 10:06:19-03:00,0.0
2020-12-09 10:06:25-03:00,0.0
2020-12-09 10:11:20-03:00,0.0
2020-12-09 10:11:25-03:00,0.0
2020-12-09 10:16:20-03:00,0.0
2020-12-09 10:16:26-03:00,0.0
2020-12-09 10:21:20-03:00,0.0
2020-12-09 10:21:26-03:00,0.0
2020-12-09 10:26:21-03:00,9.09
2020-12-09 10:26:26-03:00,9.09
2020-12-09 10:31:21-03:00,9.09
2020-12-09 10:31:27-03:00,9.09
