date,APR Los Caleos >> Estanques Acumuladores >> Volumen Salida Bombas Elevadoras(26326),APR Los Caleos >> Pozos y Bombas Elevadoras >> Volumen Pozos(9919)
2020-12-01 06:23:31-03:00,,60853.0
2020-12-01 06:26:45-03:00,5439.0,
2020-12-01 06:28:31-03:00,,60853.0
2020-12-01 06:31:45-03:00,5439.0,
2020-12-01 06:33:31-03:00,,60853.0
2020-12-01 06:36:46-03:00,5439.0,
2020-12-01 06:38:31-03:00,,60853.0
2020-12-01 06:41:46-03:00,5439.0,
2020-12-01 06:43:32-03:00,,60853.0
2020-12-01 06:46:46-03:00,5439.0,
2020-12-01 06:48:32-03:00,,60853.0
2020-12-01 06:51:47-03:00,5439.0,
2020-12-01 06:53:32-03:00,,60853.0
2020-12-01 06:56:47-03:00,5439.0,
2020-12-01 06:58:33-03:00,,60853.0
2020-12-01 07:01:47-03:00,5439.0,
2020-12-01 07:03:33-03:00,,60853.0
2020-12-01 07:06:48-03:00,5439.0,
2020-12-01 07:08:33-03:00,,60854.0
2020-12-01 07:11:48-03:00,5439.0,
2020-12-01 07:13:33-03:00,,60855.0
2020-12-01 07:16:48-03:00,5439.0,
2020-12-01 07:18:34-03:00,,60857.0
2020-12-01 07:21:48-03:00,5439.0,
2020-12-01 07:23:34-03:00,,60858.0
2020-12-01 07:26:49-03:00,5439.0,
2020-12-01 07:28:34-03:00,,60859.0
2020-12-01 07:31:49-03:00,5439.0,
2020-12-01 07:33:34-03:00,,60861.0
2020-12-01 07:36:49-03:00,5439.0,
2020-12-01 07:38:35-03:00,,60862.0
2020-12-01 07:41:50-03:00,5439.0,
2020-12-01 07:43:35-03:00,,60864.0
2020-12-01 07:46:50-03:00,5439.0,
2020-12-01 07:48:35-03:00,,60865.0
2020-12-01 07:51:50-03:00,5439.0,
2020-12-01 07:53:36-03:00,,60866.0
2020-12-01 07:56:51-03:00,5439.0,
2020-12-01 07:58:36-03:00,,60868.0
2020-12-01 08:01:51-03:00,5439.0,
2020-12-01 08:03:37-03:00,,60869.0
2020-12-01 08:06:51-03:00,5439.0,
2020-12-01 08:08:37-03:00,,60871.0
2020-12-01 08:11:52-03:00,5439.0,
2020-12-01 08:13:37-03:00,,60872.0
2020-12-01 08:16:52-03:00,5439.0,
2020-12-01 08:18:38-03:00,,60873.0
2020-12-01 08:21:52-03:00,5439.0,
2020-12-01 08:23:38-03:00,,60875.0
