date,APR Las Canteras >> Pozo y Estanque >> Horómetro Pozo 3(20345),APR Las Canteras >> Pozo y Estanque >> Horómetro Pozo 1(4775)
2020-12-24 08:20:03-03:00,2118.0,61268.0
2020-12-24 08:25:04-03:00,2118.0,61268.0
2020-12-24 08:30:04-03:00,2118.0,61268.0
2020-12-24 08:35:04-03:00,2118.0,61268.0
2020-12-24 08:40:05-03:00,2119.0,61268.0
2020-12-24 08:45:05-03:00,2119.0,61268.0
2020-12-24 08:50:05-03:00,2119.0,61268.0
2020-12-24 08:55:06-03:00,2119.0,61268.0
2020-12-24 09:00:06-03:00,2119.0,61268.0
2020-12-24 09:05:06-03:00,2119.0,61268.0
2020-12-24 09:10:06-03:00,2119.0,61268.0
2020-12-24 09:15:07-03:00,2119.0,61268.0
2020-12-24 09:20:07-03:00,2119.0,61268.0
2020-12-24 09:25:07-03:00,2119.0,61268.0
2020-12-24 09:30:09-03:00,2119.0,61268.0
2020-12-24 09:35:09-03:00,2119.0,61268.0
2020-12-24 09:40:10-03:00,2119.0,61268.0
2020-12-24 09:45:10-03:00,2119.0,61268.0
2020-12-24 09:50:10-03:00,2119.0,61268.0
2020-12-24 09:55:11-03:00,2119.0,61268.0
2020-12-24 10:00:11-03:00,2119.0,61268.0
2020-12-24 10:05:11-03:00,2119.0,61268.0
2020-12-24 10:10:12-03:00,2119.0,61268.0
2020-12-24 10:15:12-03:00,2119.0,61268.0
2020-12-24 10:20:12-03:00,2119.0,61268.0
2020-12-24 10:25:13-03:00,2120.0,61268.0
2020-12-24 10:30:13-03:00,2120.0,61268.0
2020-12-24 10:35:13-03:00,2120.0,61268.0
2020-12-24 10:40:14-03:00,2120.0,61268.0
2020-12-24 10:45:14-03:00,2120.0,61268.0
2020-12-24 10:50:14-03:00,2120.0,61268.0
2020-12-24 10:55:14-03:00,2120.0,61268.0
2020-12-24 11:00:15-03:00,2120.0,61268.0
2020-12-24 11:05:15-03:00,2120.0,61268.0
2020-12-24 11:10:15-03:00,2120.0,61268.0
2020-12-24 11:15:16-03:00,2120.0,61268.0
2020-12-24 11:20:16-03:00,2120.0,61268.0
2020-12-24 11:25:16-03:00,2120.0,61268.0
2020-12-24 11:30:17-03:00,2120.0,61268.0
2020-12-24 11:35:17-03:00,2120.0,61268.0
2020-12-24 11:40:17-03:00,2120.0,61268.0
2020-12-24 11:45:18-03:00,2120.0,61268.0
2020-12-24 11:50:18-03:00,2120.0,61268.0
2020-12-24 11:55:18-03:00,2120.0,61268.0
2020-12-24 12:00:18-03:00,2120.0,61268.0
2020-12-24 12:05:19-03:00,2120.0,61268.0
2020-12-24 12:10:19-03:00,2121.0,61268.0
2020-12-24 12:15:19-03:00,2121.0,61268.0
2020-12-24 12:20:20-03:00,2121.0,61268.0
2020-12-24 12:25:20-03:00,2121.0,61268.0
2020-12-24 12:30:20-03:00,2121.0,61268.0
2020-12-24 12:35:21-03:00,2121.0,61268.0
