date,APR Ejemplo Campesino >> Pozo y Estanque >> Volumen Pozo(5123)
2020-12-01 04:08:36-03:00,470642.0
2020-12-01 04:10:14-03:00,470642.0
2020-12-01 04:13:36-03:00,470642.0
2020-12-01 04:15:14-03:00,470642.0
2020-12-01 04:18:36-03:00,470642.0
2020-12-01 04:20:15-03:00,470642.0
2020-12-01 04:23:37-03:00,470642.0
2020-12-01 04:25:15-03:00,470642.0
2020-12-01 04:28:37-03:00,470642.0
2020-12-01 04:30:15-03:00,470642.0
2020-12-01 04:33:37-03:00,470642.0
2020-12-01 04:35:16-03:00,470642.0
2020-12-01 04:38:37-03:00,470642.0
2020-12-01 04:40:16-03:00,470642.0
2020-12-01 04:43:38-03:00,470642.0
2020-12-01 04:45:16-03:00,470642.0
2020-12-01 04:48:38-03:00,470642.0
2020-12-01 04:50:17-03:00,470642.0
2020-12-01 04:53:38-03:00,470642.0
2020-12-01 04:55:17-03:00,470642.0
2020-12-01 04:58:39-03:00,470642.0
2020-12-01 05:00:17-03:00,470642.0
2020-12-01 05:03:39-03:00,470642.0
2020-12-01 05:05:18-03:00,470642.0
2020-12-01 05:08:39-03:00,470642.0
2020-12-01 05:10:18-03:00,470642.0
2020-12-01 05:13:40-03:00,470642.0
2020-12-01 05:15:18-03:00,470642.0
2020-12-01 05:18:40-03:00,470642.0
2020-12-01 05:20:18-03:00,470642.0
2020-12-01 05:23:40-03:00,470642.0
2020-12-01 05:25:19-03:00,470642.0
2020-12-01 05:28:41-03:00,470642.0
2020-12-01 05:30:19-03:00,470642.0
2020-12-01 05:33:41-03:00,470642.0
2020-12-01 05:35:19-03:00,470642.0
2020-12-01 05:38:41-03:00,470642.0
2020-12-01 05:40:20-03:00,470642.0
2020-12-01 05:43:41-03:00,470642.0
2020-12-01 05:45:20-03:00,470642.0
2020-12-01 05:48:42-03:00,470642.0
2020-12-01 05:50:20-03:00,470642.0
2020-12-01 05:53:42-03:00,470642.0
2020-12-01 05:55:21-03:00,470642.0
2020-12-01 05:58:42-03:00,470642.0
2020-12-01 06:00:21-03:00,470642.0
2020-12-01 06:03:43-03:00,470642.0
2020-12-01 06:05:21-03:00,470642.0
2020-12-01 06:08:43-03:00,470642.0
2020-12-01 06:10:22-03:00,470642.0
2020-12-01 06:13:43-03:00,470642.0
2020-12-01 06:15:22-03:00,470642.0
2020-12-01 06:18:44-03:00,470642.0
2020-12-01 06:20:22-03:00,470643.0
2020-12-01 06:23:44-03:00,470643.0
2020-12-01 06:25:22-03:00,470643.0
2020-12-01 06:28:44-03:00,470643.0
2020-12-01 06:30:23-03:00,470644.0
2020-12-01 06:33:44-03:00,470644.0
2020-12-01 06:35:23-03:00,470644.0
2020-12-01 06:38:45-03:00,470645.0
2020-12-01 06:40:23-03:00,470645.0
2020-12-01 06:43:45-03:00,470645.0
2020-12-01 06:45:24-03:00,470645.0
2020-12-01 06:48:45-03:00,470646.0
2020-12-01 06:50:24-03:00,470646.0
2020-12-01 06:53:46-03:00,470646.0
2020-12-01 06:55:24-03:00,470646.0
2020-12-01 06:58:46-03:00,470647.0
2020-12-01 07:00:25-03:00,470647.0
2020-12-01 07:03:46-03:00,470647.0
2020-12-01 07:05:25-03:00,470648.0
2020-12-01 07:08:47-03:00,470648.0
2020-12-01 07:10:25-03:00,470648.0
2020-12-01 07:13:47-03:00,470649.0
2020-12-01 07:15:26-03:00,470649.0
2020-12-01 07:18:47-03:00,470649.0
2020-12-01 07:20:26-03:00,470649.0
2020-12-01 07:23:48-03:00,470650.0
2020-12-01 07:25:26-03:00,470650.0
2020-12-01 07:28:48-03:00,470650.0
2020-12-01 07:30:26-03:00,470650.0
2020-12-01 07:33:48-03:00,470651.0
2020-12-01 07:35:27-03:00,470651.0
2020-12-01 07:38:48-03:00,470651.0
2020-12-01 07:40:27-03:00,470651.0
2020-12-01 07:43:49-03:00,470651.0
2020-12-01 07:45:27-03:00,470651.0
2020-12-01 07:48:49-03:00,470651.0
2020-12-01 07:50:28-03:00,470651.0
2020-12-01 07:53:49-03:00,470651.0
2020-12-01 07:55:28-03:00,470651.0
2020-12-01 07:58:50-03:00,470651.0
2020-12-01 08:00:28-03:00,470651.0
2020-12-01 08:03:50-03:00,470651.0
2020-12-01 08:05:29-03:00,470651.0
2020-12-01 08:08:50-03:00,470651.0
2020-12-01 08:10:29-03:00,470651.0
2020-12-01 08:13:51-03:00,470651.0
2020-12-01 08:15:29-03:00,470651.0
2020-12-01 08:18:51-03:00,470651.0
2020-12-01 08:20:30-03:00,470651.0
2020-12-01 08:23:51-03:00,470651.0
2020-12-01 08:25:30-03:00,470651.0
2020-12-01 08:28:52-03:00,470651.0
2020-12-01 08:30:30-03:00,470651.0
2020-12-01 08:33:52-03:00,470651.0
2020-12-01 08:35:30-03:00,470651.0
2020-12-01 08:38:52-03:00,470651.0
2020-12-01 08:40:31-03:00,470651.0
2020-12-01 08:43:52-03:00,470651.0
2020-12-01 08:45:31-03:00,470651.0
2020-12-01 08:48:53-03:00,470651.0
2020-12-01 08:50:31-03:00,470651.0
2020-12-01 08:53:53-03:00,470651.0
2020-12-01 08:55:32-03:00,470651.0
2020-12-01 08:58:53-03:00,470651.0
2020-12-01 09:00:32-03:00,470651.0
2020-12-01 09:03:54-03:00,470652.0
2020-12-01 09:05:32-03:00,470652.0
2020-12-01 09:08:54-03:00,470652.0
2020-12-01 09:10:33-03:00,470653.0
2020-12-01 09:13:54-03:00,470653.0
2020-12-01 09:15:33-03:00,470653.0
2020-12-01 09:18:55-03:00,470654.0
2020-12-01 09:20:33-03:00,470654.0
2020-12-01 09:23:55-03:00,470654.0
2020-12-01 09:25:34-03:00,470654.0
2020-12-01 09:28:55-03:00,470655.0
2020-12-01 09:30:34-03:00,470655.0
2020-12-01 09:33:56-03:00,470655.0
2020-12-01 09:35:34-03:00,470655.0
2020-12-01 09:38:56-03:00,470656.0
2020-12-01 09:40:34-03:00,470656.0
2020-12-01 09:43:56-03:00,470656.0
2020-12-01 09:45:35-03:00,470657.0
2020-12-01 09:48:56-03:00,470657.0
2020-12-01 09:50:35-03:00,470657.0
2020-12-01 09:53:57-03:00,470657.0
2020-12-01 09:55:35-03:00,470658.0
2020-12-01 09:58:57-03:00,470658.0
2020-12-01 10:00:36-03:00,470658.0
2020-12-01 10:03:57-03:00,470659.0
2020-12-01 10:05:36-03:00,470659.0
2020-12-01 10:08:58-03:00,470659.0
2020-12-01 10:10:36-03:00,470659.0
2020-12-01 10:13:58-03:00,470659.0
2020-12-01 10:15:37-03:00,470659.0
2020-12-01 10:18:58-03:00,470659.0
2020-12-01 10:20:37-03:00,470659.0
2020-12-01 10:23:59-03:00,470659.0
2020-12-01 10:25:37-03:00,470659.0
2020-12-01 10:28:59-03:00,470659.0
2020-12-01 10:30:37-03:00,470659.0
2020-12-01 10:33:59-03:00,470659.0
2020-12-01 10:35:38-03:00,470659.0
2020-12-01 10:38:59-03:00,470659.0
2020-12-01 10:40:38-03:00,470659.0
2020-12-01 10:44:00-03:00,470659.0
2020-12-01 10:45:38-03:00,470659.0
2020-12-01 10:49:00-03:00,470659.0
2020-12-01 10:50:39-03:00,470659.0
2020-12-01 10:54:00-03:00,470659.0
2020-12-01 10:55:39-03:00,470659.0
2020-12-01 10:59:01-03:00,470659.0
2020-12-01 11:00:39-03:00,470659.0
2020-12-01 11:04:01-03:00,470659.0
2020-12-01 11:05:40-03:00,470660.0
2020-12-01 11:09:01-03:00,470660.0
2020-12-01 11:10:40-03:00,470660.0
2020-12-01 11:14:02-03:00,470661.0
2020-12-01 11:15:40-03:00,470661.0
2020-12-01 11:19:02-03:00,470661.0
2020-12-01 11:20:41-03:00,470661.0
2020-12-01 11:24:02-03:00,470662.0
2020-12-01 11:25:41-03:00,470662.0
2020-12-01 11:29:03-03:00,470662.0
2020-12-01 11:30:41-03:00,470662.0
2020-12-01 11:34:03-03:00,470662.0
2020-12-01 11:35:41-03:00,470662.0
2020-12-01 11:39:03-03:00,470662.0
2020-12-01 11:40:42-03:00,470662.0
2020-12-01 11:44:03-03:00,470662.0
2020-12-01 11:45:42-03:00,470662.0
2020-12-01 11:49:04-03:00,470663.0
2020-12-01 11:50:42-03:00,470663.0
2020-12-01 11:54:04-03:00,470663.0
2020-12-01 11:55:43-03:00,470664.0
2020-12-01 11:59:04-03:00,470664.0
2020-12-01 12:00:43-03:00,470664.0
2020-12-01 12:04:05-03:00,470664.0
2020-12-01 12:05:43-03:00,470665.0
2020-12-01 12:09:05-03:00,470665.0
2020-12-01 12:10:44-03:00,470665.0
2020-12-01 12:14:05-03:00,470666.0
2020-12-01 12:15:44-03:00,470666.0
2020-12-01 12:19:06-03:00,470666.0
2020-12-01 12:20:44-03:00,470666.0
2020-12-01 12:24:06-03:00,470667.0
2020-12-01 12:25:45-03:00,470667.0
2020-12-01 12:29:06-03:00,470667.0
2020-12-01 12:30:45-03:00,470667.0
2020-12-01 12:34:07-03:00,470668.0
2020-12-01 12:35:45-03:00,470668.0
2020-12-01 12:39:07-03:00,470668.0
2020-12-01 12:40:45-03:00,470669.0
2020-12-01 12:44:07-03:00,470669.0
2020-12-01 12:45:46-03:00,470669.0
2020-12-01 12:49:07-03:00,470670.0
2020-12-01 12:50:46-03:00,470670.0
2020-12-01 12:54:08-03:00,470670.0
2020-12-01 12:55:46-03:00,470670.0
2020-12-01 12:59:08-03:00,470671.0
2020-12-01 13:00:47-03:00,470671.0
2020-12-01 13:04:08-03:00,470671.0
2020-12-01 13:05:47-03:00,470671.0
2020-12-01 13:09:09-03:00,470672.0
2020-12-01 13:10:47-03:00,470672.0
2020-12-01 13:14:09-03:00,470672.0
2020-12-01 13:15:48-03:00,470672.0
2020-12-01 13:19:09-03:00,470672.0
2020-12-01 13:20:48-03:00,470672.0
2020-12-01 13:24:10-03:00,470672.0
2020-12-01 13:25:48-03:00,470672.0
2020-12-01 13:29:10-03:00,470672.0
2020-12-01 13:30:49-03:00,470672.0
2020-12-01 13:34:10-03:00,470672.0
2020-12-01 13:35:49-03:00,470672.0
2020-12-01 13:39:11-03:00,470672.0
2020-12-01 13:40:49-03:00,470672.0
2020-12-01 13:44:11-03:00,470672.0
2020-12-01 13:45:49-03:00,470672.0
2020-12-01 13:49:11-03:00,470672.0
2020-12-01 13:50:50-03:00,470672.0
2020-12-01 13:54:11-03:00,470672.0
2020-12-01 13:55:50-03:00,470672.0
2020-12-01 13:59:12-03:00,470672.0
2020-12-01 14:00:50-03:00,470672.0
2020-12-01 14:04:12-03:00,470672.0
2020-12-01 14:05:51-03:00,470672.0
2020-12-01 14:09:12-03:00,470672.0
2020-12-01 14:10:51-03:00,470672.0
2020-12-01 14:14:13-03:00,470672.0
2020-12-01 14:15:51-03:00,470672.0
2020-12-01 14:19:13-03:00,470672.0
2020-12-01 14:20:52-03:00,470672.0
2020-12-01 14:24:13-03:00,470672.0
2020-12-01 14:25:52-03:00,470672.0
2020-12-01 14:29:14-03:00,470672.0
2020-12-01 14:30:52-03:00,470672.0
2020-12-01 14:34:14-03:00,470672.0
2020-12-01 14:35:52-03:00,470673.0
2020-12-01 14:39:14-03:00,470673.0
2020-12-01 14:40:53-03:00,470673.0
2020-12-01 14:44:14-03:00,470674.0
2020-12-01 14:45:53-03:00,470674.0
2020-12-01 14:49:15-03:00,470674.0
2020-12-01 14:50:53-03:00,470674.0
2020-12-01 14:54:15-03:00,470675.0
2020-12-01 14:55:53-03:00,470675.0
2020-12-01 14:59:16-03:00,470675.0
2020-12-01 15:00:54-03:00,470675.0
2020-12-01 15:04:16-03:00,470676.0
2020-12-01 15:05:54-03:00,470676.0
2020-12-01 15:09:16-03:00,470676.0
2020-12-01 15:10:54-03:00,470676.0
2020-12-01 15:14:17-03:00,470677.0
2020-12-01 15:15:55-03:00,470677.0
2020-12-01 15:19:17-03:00,470677.0
2020-12-01 15:20:55-03:00,470678.0
2020-12-01 15:24:17-03:00,470678.0
2020-12-01 15:25:56-03:00,470678.0
2020-12-01 15:29:17-03:00,470679.0
2020-12-01 15:30:56-03:00,470679.0
2020-12-01 15:34:18-03:00,470679.0
2020-12-01 15:35:56-03:00,470679.0
2020-12-01 15:39:18-03:00,470680.0
2020-12-01 15:40:57-03:00,470680.0
2020-12-01 15:44:18-03:00,470680.0
2020-12-01 15:45:57-03:00,470680.0
2020-12-01 15:49:19-03:00,470681.0
2020-12-01 15:50:57-03:00,470681.0
2020-12-01 15:54:19-03:00,470681.0
2020-12-01 15:55:58-03:00,470681.0
2020-12-01 15:59:19-03:00,470682.0
2020-12-01 16:00:58-03:00,470682.0
2020-12-01 16:04:20-03:00,470682.0
2020-12-01 16:05:58-03:00,470682.0
2020-12-01 16:09:20-03:00,470682.0
2020-12-01 16:10:58-03:00,470682.0
2020-12-01 16:14:20-03:00,470682.0
2020-12-01 16:15:59-03:00,470682.0
2020-12-01 16:19:21-03:00,470682.0
2020-12-01 16:20:59-03:00,470682.0
2020-12-01 16:24:21-03:00,470682.0
2020-12-01 16:25:59-03:00,470682.0
2020-12-01 16:29:21-03:00,470682.0
2020-12-01 16:31:00-03:00,470682.0
2020-12-01 16:34:21-03:00,470682.0
2020-12-01 16:36:00-03:00,470682.0
2020-12-01 16:39:22-03:00,470682.0
2020-12-01 16:41:00-03:00,470682.0
2020-12-01 16:44:22-03:00,470682.0
2020-12-01 16:46:01-03:00,470682.0
2020-12-01 16:49:22-03:00,470682.0
2020-12-01 16:51:01-03:00,470682.0
2020-12-01 16:54:23-03:00,470682.0
2020-12-01 16:56:01-03:00,470682.0
2020-12-01 16:59:23-03:00,470682.0
2020-12-01 17:01:01-03:00,470682.0
2020-12-01 17:04:23-03:00,470682.0
2020-12-01 17:06:02-03:00,470682.0
2020-12-01 17:09:24-03:00,470682.0
2020-12-01 17:11:02-03:00,470682.0
2020-12-01 17:14:24-03:00,470682.0
2020-12-01 17:16:02-03:00,470682.0
2020-12-01 17:19:24-03:00,470682.0
2020-12-01 17:21:03-03:00,470683.0
2020-12-01 17:24:24-03:00,470683.0
2020-12-01 17:26:03-03:00,470683.0
2020-12-01 17:29:25-03:00,470684.0
2020-12-01 17:31:03-03:00,470684.0
2020-12-01 17:34:25-03:00,470684.0
2020-12-01 17:36:04-03:00,470684.0
2020-12-01 17:39:25-03:00,470685.0
2020-12-01 17:41:04-03:00,470685.0
2020-12-01 17:44:26-03:00,470685.0
2020-12-01 17:46:04-03:00,470685.0
